Date,Cloud,Service,ResourceType,Team,Environment,CostCenter,Usage,Unit,UnitCost,DailyCost,TaggingStatus,TagStandard,HasRI,BusinessJustification
2023-01-01,Azure,VirtualMachines,D2s_v3,Untagged,Untagged,Untagged,22.44,Hours,0.096,21.51236747833719,untagged,v1.0,False,
2023-01-01,Azure,VirtualMachines,D4s_v3,Engineering,Production,CC-ENG,22.66,Hours,0.192,43.55721930019758,compliant,v1.0,False,
2023-01-01,Azure,SQLDatabase,sql_s3,Engineering,Untagged,Untagged,24.0,Hours,0.102,24.494279802067098,partial,v1.0,False,
2023-01-01,Azure,BlobStorage,blob_hot,Engineering,Untagged,Untagged,147.15,GB-Month,0.0006,0.8519749496371165,partial,v1.0,False,
2023-01-01,Azure,VirtualMachines,NC6s_v3,DataScience,Production,CC-DAT,23.89,Hours,3.06,731.7399848695784,compliant,v1.0,False,
2023-01-01,Azure,VirtualMachines,D4s_v3,DataScience,Untagged,Untagged,22.68,Hours,0.1248,28.328167075434123,partial,v1.0,True,
2023-01-01,Azure,BlobStorage,blob_hot,Untagged,Untagged,Untagged,720.82,GB-Month,0.0006,4.472868485594861,untagged,v1.0,True,
2023-01-01,Azure,BlobStorage,blob_archive,DataScience,Staging,CC-DAT,876.51,GB-Month,0.0,0.31949060611391866,compliant,v1.0,True,
2023-01-01,Azure,VirtualMachines,B2s,Marketing,Untagged,Untagged,20.42,Hours,0.0416,8.519749496371166,partial,v1.0,False,
2023-01-01,Azure,BlobStorage,blob_hot,Marketing,Production,CC-MAR,153.86,GB-Month,0.0006,0.958471818341756,compliant,v1.0,False,
2023-01-01,Azure,SQLDatabase,sql_basic,Marketing,Production,Untagged,24.0,Hours,0.0068,1.5974530305695933,partial,v1.0,False,
2023-01-01,Azure,VirtualMachines,B2s,Finance,Untagged,Untagged,22.24,Hours,0.0416,9.265227577303643,partial,v1.0,False,
2023-01-01,Azure,SQLDatabase,sql_s3,Finance,Production,CC-FIN,24.0,Hours,0.102,24.494279802067098,compliant,v1.0,False,
2023-01-01,Azure,BlobStorage,blob_cool,Untagged,Untagged,Untagged,140.97,GB-Month,0.0003,0.42598747481855825,untagged,v1.0,False,
2023-01-01,Azure,VirtualMachines,D2s_v3,Untagged,Untagged,Untagged,20.81,Hours,0.096,20.021411316472236,untagged,v1.0,False,
2023-01-01,Azure,VirtualMachines,F4s_v2,DevOps,Untagged,Untagged,19.3,Hours,0.169,32.69453869232434,partial,v1.0,False,
2023-01-01,Azure,BlobStorage,blob_hot,DevOps,Production,CC-DEV,155.86,GB-Month,0.0006,0.958471818341756,compliant,v1.0,False,
